step,best_idx,offset,steer,free_ahead,speed
442,528,-0.0222,-0.0078,20.2607,4.0000
443,536,-0.0074,-0.0026,16.8788,4.0000
444,529,-0.0204,-0.0071,20.2316,4.0000
445,536,-0.0074,-0.0026,16.8499,4.0000
446,528,-0.0222,-0.0078,20.2793,4.0000
447,536,-0.0074,-0.0026,16.8134,4.0000
448,528,-0.0222,-0.0078,20.2337,4.0000
449,536,-0.0074,-0.0026,16.7732,4.0000
450,528,-0.0222,-0.0078,20.1873,4.0000
451,536,-0.0074,-0.0026,16.7485,4.0000
452,528,-0.0222,-0.0078,20.1674,4.0000
453,536,-0.0074,-0.0026,16.6910,4.0000
454,529,-0.0204,-0.0071,20.0852,4.0000
455,536,-0.0074,-0.0026,16.6566,4.0000
456,529,-0.0204,-0.0071,20.0592,4.0000
457,536,-0.0074,-0.0026,16.5731,4.0000
458,528,-0.0222,-0.0078,20.0413,4.0000
459,535,-0.0093,-0.0032,16.5302,4.0000
460,528,-0.0222,-0.0078,19.9484,4.0000
461,535,-0.0093,-0.0032,16.4904,4.0000
462,529,-0.0204,-0.0071,19.9652,4.0000
463,535,-0.0093,-0.0032,16.4557,4.0000
464,529,-0.0204,-0.0071,19.8475,4.0000
465,534,-0.0111,-0.0039,16.3343,4.0000
466,529,-0.0204,-0.0071,19.8523,4.0000
467,534,-0.0111,-0.0039,16.3636,4.0000
468,528,-0.0222,-0.0078,19.8056,4.0000
469,534,-0.0111,-0.0039,16.3163,4.0000
470,529,-0.0204,-0.0071,19.7666,4.0000
471,534,-0.0111,-0.0039,16.2844,4.0000
472,529,-0.0204,-0.0071,19.7302,4.0000
473,534,-0.0111,-0.0039,16.2406,4.0000
474,529,-0.0204,-0.0071,19.7094,4.0000
475,535,-0.0093,-0.0032,16.2161,4.0000
476,530,-0.0185,-0.0065,19.6356,4.0000
477,534,-0.0111,-0.0039,16.1573,4.0000
478,529,-0.0204,-0.0071,19.6143,4.0000
479,534,-0.0111,-0.0039,16.1384,4.0000
480,529,-0.0204,-0.0071,19.5836,4.0000
481,534,-0.0111,-0.0039,16.1120,4.0000
