"Step","dqn - train/reward_mean","dqn - train/reward_mean__MIN","dqn - train/reward_mean__MAX"
"382","-83.12156793008006","-83.12156793008006","-83.12156793008006"
"383","-83.39433836718469","-83.39433836718469","-83.39433836718469"
"384","-83.3461393606654","-83.3461393606654","-83.3461393606654"
"385","-82.96063813664398","-82.96063813664398","-82.96063813664398"
"386","-82.33422318193043","-82.33422318193043","-82.33422318193043"
"387","-82.2150482429043","-82.2150482429043","-82.2150482429043"
"388","-82.22962635588279","-82.22962635588279","-82.22962635588279"
"389","-82.45700267286418","-82.45700267286418","-82.45700267286418"
"390","-82.52557883874891","-82.52557883874891","-82.52557883874891"
"391","-82.17178922356484","-82.17178922356484","-82.17178922356484"
"392","-82.49256968825037","-82.49256968825037","-82.49256968825037"
"393","-82.29444931461389","-82.29444931461389","-82.29444931461389"
"394","-82.60115208206145","-82.60115208206145","-82.60115208206145"
"395","-82.67116503759665","-82.67116503759665","-82.67116503759665"
"396","-82.93099491185887","-82.93099491185887","-82.93099491185887"
"397","-83.19787412400736","-83.19787412400736","-83.19787412400736"
"398","-83.53585844219575","-83.53585844219575","-83.53585844219575"
"399","-83.19622916084161","-83.19622916084161","-83.19622916084161"
"400","-83.5257546109325","-83.5257546109325","-83.5257546109325"
"401","-83.57260350403288","-83.57260350403288","-83.57260350403288"
"402","-83.60084895665204","-83.60084895665204","-83.60084895665204"
"403","-83.6241257813797","-83.6241257813797","-83.6241257813797"
"404","-83.57302853683387","-83.57302853683387","-83.57302853683387"
"405","-84.07187928494925","-84.07187928494925","-84.07187928494925"
"406","-84.07349456401003","-84.07349456401003","-84.07349456401003"
"407","-84.07977642256228","-84.07977642256228","-84.07977642256228"
"408","-83.62487105113381","-83.62487105113381","-83.62487105113381"
"409","-83.27107033640074","-83.27107033640074","-83.27107033640074"
"410","-83.46543209349664","-83.46543209349664","-83.46543209349664"
"411","-83.83753425227405","-83.83753425227405","-83.83753425227405"
"412","-84.37654706455228","-84.37654706455228","-84.37654706455228"
"413","-84.14471298849166","-84.14471298849166","-84.14471298849166"
"414","-84.18494254043748","-84.18494254043748","-84.18494254043748"
"415","-83.60858437134375","-83.60858437134375","-83.60858437134375"
"416","-83.98501297753727","-83.98501297753727","-83.98501297753727"
"417","-83.6913077133424","-83.6913077133424","-83.6913077133424"
"418","-83.9811747736852","-83.9811747736852","-83.9811747736852"
"419","-84.0163248537849","-84.0163248537849","-84.0163248537849"
"420","-83.49579992413011","-83.49579992413011","-83.49579992413011"
"421","-83.92356222315662","-83.92356222315662","-83.92356222315662"
"422","-83.95821851913789","-83.95821851913789","-83.95821851913789"
"423","-83.99681605058693","-83.99681605058693","-83.99681605058693"
"424","-83.28188082632084","-83.28188082632084","-83.28188082632084"
"425","-83.30834014972613","-83.30834014972613","-83.30834014972613"
"426","-83.84197513987718","-83.84197513987718","-83.84197513987718"
"427","-83.63172752921876","-83.63172752921876","-83.63172752921876"
"428","-83.54551870186755","-83.54551870186755","-83.54551870186755"
"429","-83.54279288208986","-83.54279288208986","-83.54279288208986"
"430","-83.14325191895885","-83.14325191895885","-83.14325191895885"
"431","-83.29648717984033","-83.29648717984033","-83.29648717984033"
"432","-83.35410734154226","-83.35410734154226","-83.35410734154226"
"433","-83.38846188561932","-83.38846188561932","-83.38846188561932"
"434","-82.95132709430938","-82.95132709430938","-82.95132709430938"
"435","-82.94051663379592","-82.94051663379592","-82.94051663379592"
"436","-82.92844353969616","-82.92844353969616","-82.92844353969616"
"437","-82.8773703657597","-82.8773703657597","-82.8773703657597"
"438","-82.84426555782964","-82.84426555782964","-82.84426555782964"
"439","-83.23689017767029","-83.23689017767029","-83.23689017767029"
"440","-83.25449195980502","-83.25449195980502","-83.25449195980502"
"441","-82.96084578239767","-82.96084578239767","-82.96084578239767"
"442","-83.22094563026825","-83.22094563026825","-83.22094563026825"
