"Step","sac - train/reward_mean","sac - train/reward_mean__MIN","sac - train/reward_mean__MAX"
"354","6.012964373839009","6.012964373839009","6.012964373839009"
"355","6.330905227623685","6.330905227623685","6.330905227623685"
"356","6.582703705957865","6.582703705957865","6.582703705957865"
"357","6.99814122200758","6.99814122200758","6.99814122200758"
"358","7.481821694016872","7.481821694016872","7.481821694016872"
"359","8.119675525982057","8.119675525982057","8.119675525982057"
"360","8.13311721824959","8.13311721824959","8.13311721824959"
"361","8.554621731760253","8.554621731760253","8.554621731760253"
"362","8.348567668239394","8.348567668239394","8.348567668239394"
"363","9.03950105349153","9.03950105349153","9.03950105349153"
"364","9.522437110757146","9.522437110757146","9.522437110757146"
"365","9.876727858552968","9.876727858552968","9.876727858552968"
"366","10.316236178279924","10.316236178279924","10.316236178279924"
"367","10.798724187205972","10.798724187205972","10.798724187205972"
"368","11.23843029286738","11.23843029286738","11.23843029286738"
"369","11.668413408368997","11.668413408368997","11.668413408368997"
"370","12.393168407105458","12.393168407105458","12.393168407105458"
"371","12.841271155483028","12.841271155483028","12.841271155483028"
"372","13.24201927619868","13.24201927619868","13.24201927619868"
"373","13.804973558931797","13.804973558931797","13.804973558931797"
"374","14.822456815677342","14.822456815677342","14.822456815677342"
"375","15.736965814592823","15.736965814592823","15.736965814592823"
"376","16.570283192860934","16.570283192860934","16.570283192860934"
"377","16.93254195266547","16.93254195266547","16.93254195266547"
"378","17.757480703996972","17.757480703996972","17.757480703996972"
"379","18.197244659142214","18.197244659142214","18.197244659142214"
"380","18.365325398370896","18.365325398370896","18.365325398370896"
"381","18.78892334841521","18.78892334841521","18.78892334841521"
"382","19.039160466803096","19.039160466803096","19.039160466803096"
"383","19.408329101978033","19.408329101978033","19.408329101978033"
"384","19.65256695934815","19.65256695934815","19.65256695934815"
"385","19.734528882987032","19.734528882987032","19.734528882987032"
"386","19.88229194370022","19.88229194370022","19.88229194370022"
"387","20.192971940531024","20.192971940531024","20.192971940531024"
"388","20.960997651169638","20.960997651169638","20.960997651169638"
"389","20.3601440509816","20.3601440509816","20.3601440509816"
"390","21.38322746580814","21.38322746580814","21.38322746580814"
"391","21.643593775409954","21.643593775409954","21.643593775409954"
"392","21.90950772043432","21.90950772043432","21.90950772043432"
"393","21.929500668846284","21.929500668846284","21.929500668846284"
"394","22.02318011022171","22.02318011022171","22.02318011022171"
"395","22.124038469384523","22.124038469384523","22.124038469384523"
"396","22.296631555821495","22.296631555821495","22.296631555821495"
"397","22.397202073612117","22.397202073612117","22.397202073612117"
"398","22.466600424365005","22.466600424365005","22.466600424365005"
"399","22.36475536627402","22.36475536627402","22.36475536627402"
"400","22.025269339561326","22.025269339561326","22.025269339561326"
"401","22.003770325874775","22.003770325874775","22.003770325874775"
"402","22.622124434478028","22.622124434478028","22.622124434478028"
"403","23.067649301217315","23.067649301217315","23.067649301217315"
"404","23.50858392488153","23.50858392488153","23.50858392488153"
"405","24.059217742977417","24.059217742977417","24.059217742977417"
"406","25.117363800105874","25.117363800105874","25.117363800105874"
"407","25.534162344873245","25.534162344873245","25.534162344873245"
"408","26.245501288553356","26.245501288553356","26.245501288553356"
"409","26.20248490764469","26.20248490764469","26.20248490764469"
"410","26.102958686283678","26.102958686283678","26.102958686283678"
"411","26.59409484287477","26.59409484287477","26.59409484287477"
"412","26.767784952449006","26.767784952449006","26.767784952449006"
"413","26.76442421904809","26.76442421904809","26.76442421904809"
"414","26.95232913587985","26.95232913587985","26.95232913587985"
"415","26.952153159460146","26.952153159460146","26.952153159460146"
"416","27.43553638808182","27.43553638808182","27.43553638808182"
"417","27.744404260573287","27.744404260573287","27.744404260573287"
"418","28.110144056066133","28.110144056066133","28.110144056066133"
"419","28.4445245950835","28.4445245950835","28.4445245950835"
"420","28.81411787152549","28.81411787152549","28.81411787152549"
"421","29.412202717796866","29.412202717796866","29.412202717796866"
"422","30.019597942459374","30.019597942459374","30.019597942459374"
"423","30.597140591159555","30.597140591159555","30.597140591159555"
"424","31.152234442631094","31.152234442631094","31.152234442631094"
"425","31.726700593358913","31.726700593358913","31.726700593358913"
