s_m,x_m,y_m,heading_rad,curvature_inv_m,width_m,left_width_m,right_width_m
9.800017109,3.029130766,3.789441651,2.056695150,-0.375354948,1.000000000,0.500000000,0.500000000
9.850018366,3.006195947,3.833872718,2.039610743,-0.307995257,1.000000000,0.500000000,0.500000000
9.900019906,2.983947948,3.878651961,2.025348212,-0.262484353,1.000000000,0.500000000,0.500000000
9.950021613,2.962289492,3.923719487,2.013974032,-0.192465057,1.000000000,0.500000000,0.500000000
10.000023449,2.941065691,3.968993474,2.005509769,-0.146092156,1.000000000,0.500000000,0.500000000
10.050025390,2.920173131,4.014421385,1.999803229,-0.082160415,1.000000000,0.500000000,0.500000000
10.100027378,2.899467354,4.059934785,1.997033238,-0.028634846,1.000000000,0.500000000,0.500000000
10.150029387,2.878826755,4.105477804,1.997060594,0.029729068,1.000000000,0.500000000,0.500000000
10.200031373,2.858118488,4.150990070,1.999966238,0.086492073,1.000000000,0.500000000,0.500000000
10.250033306,2.837213608,4.196412302,2.005858507,0.149189437,1.000000000,0.500000000,0.500000000
10.300035114,2.815970526,4.241677215,2.014628413,0.201593006,1.000000000,0.500000000,0.500000000
10.350036811,2.794272307,4.286725600,2.026632980,0.278570955,1.000000000,0.500000000,0.500000000
10.400038307,2.771948818,4.331467208,2.041818071,0.328809834,1.000000000,0.500000000,0.500000000
10.450039436,2.748892948,4.375835437,2.060039025,0.400000490,1.000000000,0.500000000,0.500000000
10.500040391,2.724954433,4.419733534,2.081967146,0.477093279,1.000000000,0.500000000,0.500000000
10.550040813,2.699975881,4.463047668,2.107166120,0.530830371,1.000000000,0.500000000,0.500000000
10.600040749,2.673856855,4.505683217,2.135882559,0.617786425,1.000000000,0.500000000,0.500000000
10.650040438,2.646433604,4.547491521,2.168565730,0.689500286,1.000000000,0.500000000,0.500000000
10.700039146,2.617586111,4.588328917,2.204428353,0.744959995,1.000000000,0.500000000,0.500000000
10.750037247,2.587238197,4.628063213,2.243843813,0.831608354,1.000000000,0.500000000,0.500000000
10.800035223,2.555264850,4.666501509,2.287070513,0.897415416,1.000000000,0.500000000,0.500000000
10.850031915,2.521600321,4.703465933,2.332817102,0.932398155,1.000000000,0.500000000,0.500000000
10.900027977,2.486250130,4.738820852,2.381237845,1.004378494,1.000000000,0.500000000,0.500000000
10.950024234,2.449169574,4.772356773,2.432279334,1.037242492,1.000000000,0.500000000,0.500000000
11.000019214,2.410401359,4.803924535,2.483535674,1.012940186,1.000000000,0.500000000,0.500000000
11.050015464,2.370083674,4.833489875,2.534755427,1.035795310,1.000000000,0.500000000,0.500000000
11.100012197,2.328289087,4.860928638,2.583752552,0.924029768,1.000000000,0.500000000,0.500000000
11.150008931,2.285271809,4.886407791,2.630516453,0.946467302,1.000000000,0.500000000,0.500000000
11.200006228,2.241096846,4.909823649,2.675586090,0.856266535,1.000000000,0.500000000,0.500000000
11.250003876,2.195959818,4.931327451,2.719291348,0.891887499,1.000000000,0.500000000,0.500000000
11.300001817,2.149908730,4.950797719,2.761808752,0.808756386,1.000000000,0.500000000,0.500000000
11.349999667,2.103108233,4.968390291,2.802697606,0.826750804,1.000000000,0.500000000,0.500000000
11.399997629,2.055620566,4.984033745,2.843275898,0.796336467,1.000000000,0.500000000,0.500000000
11.449995650,2.007547758,4.997774458,2.882313342,0.765118096,1.000000000,0.500000000,0.500000000
11.499994106,1.958984153,5.009666553,2.921316314,0.794955086,1.000000000,0.500000000,0.500000000
